,title,Author,Publish Date,URL
0,Qatar World Cup starts with stakes high for hosts,,,https://www.dawn.com/news/1722062/qatar-world-cup-starts-with-stakes-high-for-hosts
1,"'Backdoor negotiations' underway with President Alvi: Sheikh Rashid
",,,https://www.dawn.com/news/1717321/backdoor-negotiations-underway-with-president-alvi-sheikh-rashid
2,7 injured near Kurram border following firing from Afghan side over land dispute: officials,Javid Hussain,"November 20, 2022",https://www.dawn.com/news/1722079/7-injured-near-kurram-border-following-firing-from-afghan-side-over-land-dispute-officials
3,Residents protest over abduction of two wrestlers in Rahim Yar Khan,Malik Irfanul Haq,,https://www.dawn.com/news/1722082/residents-protest-over-abduction-of-two-wrestlers-in-rahim-yar-khan
4,"Ukraine nuclear plant shelled, UN warns: ‘You’re playing with fire!’",,"November 20, 2022",https://www.dawn.com/news/1722084/ukraine-nuclear-plant-shelled-un-warns-youre-playing-with-fire
5,Pakistan hails ‘pivotal step’ as countries adopt COP27 deal with ‘loss and damage’ fund,Reuters,,https://www.dawn.com/news/1722046/pakistan-hails-pivotal-step-as-countries-adopt-cop27-deal-with-loss-and-damage-fund
6,Rumours of Pakistan’s default risk based on ‘malicious campaign’ by PTI: Ahsan Iqbal,,,https://www.dawn.com/news/1722070/rumours-of-pakistans-default-risk-based-on-malicious-campaign-by-pti-ahsan-iqbal
7,"Pace ace Shaheen Afridi undergoes appendectomy, says 'feeling better'
",Dawn.com,"November 20, 2022",https://www.dawn.com/news/1722071/pace-ace-shaheen-afridi-undergoes-appendectomy-says-feeling-better
8,Yadav powers India to big win despite Southee hat-trick,,,https://www.dawn.com/news/1722073/yadav-powers-india-to-big-win-despite-southee-hat-trick
9,Religous scholar Mufti Rafi Usmani laid to rest in Karachi,,"November 20, 2022",https://www.dawn.com/news/1722069/religous-scholar-mufti-rafi-usmani-laid-to-rest-in-karachi
10,,,,https://www.youtube.com/watch?v=7DsWF3TVU9o
11,,,,https://www.youtube.com/watch?v=83kc3CV_zSw
12,,,,https://www.youtube.com/watch?v=zGNg5ScS-DI
13,,,,https://www.youtube.com/watch?v=N-VIXslyrHI
14,,,,https://www.youtube.com/watch?v=f6ymKBKl-LU
15,"

Entry to Islamabad from Rawalpindi to be closed on Nov 26: police
",,,https://www.dawn.com/live/pakistan#1722083
16,"

Imran Khan’s long march call towards Pindi is merely an ‘empty slogan’: Sharjeel Memon
",,,https://www.dawn.com/live/pakistan#1722081
17,"

‘Backdoor negotiations’ underway with President Alvi: Sheikh Rashid
",,,https://www.dawn.com/live/pakistan#1722080
18,,Editorial,,https://www.dawn.com/news/1722047/editorial-ptis-ridiculously-long-march-has-overstayed-its-welcome
19,,Muhammad Akbar Notezai,,https://www.dawn.com/news/1722056/how-afghans-are-turning-balochistan-green
20,,,,https://www.dawn.com/news/1721912/fifa-world-cup-turns-malir-village-into-football-wonderland
21,,Kazim Alam,,https://www.dawn.com/news/1722042/is-credit-default-swap-an-accurate-indicator-of-default-risk
22,,,,https://www.dawn.com/news/1722050/the-weight-on-the-new-army-chiefs-shoulders
23,,,,https://www.dawn.com/news/1722068/fahad-mustafa-credits-bollywoods-govinda-for-inspiring-him-to-act-at-the-filmfare-middle-east-achievers-night
24,,,,https://www.dawn.com/news/1722049/3-radical-solutions-for-getting-pakistan-out-of-the-mess
25,,Nadeem F. Paracha,,https://www.dawn.com/news/1722055/smokers-corner-the-perception-of-popularity
26,,,,https://www.dawn.com/news/1722054/veteran-bollywood-star-tabassum-govil-dies-at-78-after-suffering-a-cardiac-arrest
27,,Editorial,,https://www.dawn.com/news/1721835/editorial-imfs-refusal-to-give-pakistan-any-leeway-underscores-lenders-lack-of-confidence-in-our-commitments
28,,,,https://www.dawn.com/news/1721646/joyland-and-how-our-art-and-stories-are-always-an-integral-telling-of-our-identities
29,,,,https://www.dawn.com/news/1721084/the-sting-part-3
30,"Failure of governance
",,,https://www.dawn.com/news/1721825/failure-of-governance
31,"IMF delay
",Editorial,,https://www.dawn.com/news/1721818/imf-delay
32,North Korea’s Kim reveals daughter at ballistic missile test,Reuters,,https://www.dawn.com/news/1721854/north-koreas-kim-reveals-daughter-at-ballistic-missile-test
33,"Pakistan no longer faces default risk, NA told
",,,https://www.dawn.com/news/1721760/pakistan-no-longer-faces-default-risk-na-told
34,"Politicking surges days before new COAS is named
",,"November 19, 2022",https://www.dawn.com/news/1721779/politicking-surges-days-before-new-coas-is-named
35,,,,https://www.dawn.com/news/1721971/getting-out-of-the-mess
36,,,,https://www.dawn.com/news/1721970/weight-on-new-chiefs-shoulders
37,,,,https://www.dawn.com/news/1721969/children-in-power
38,,Neda Mulji,"November 20, 2022",https://www.dawn.com/news/1721968/school-leadership
39,,,,https://www.dawn.com/news/1721825/failure-of-governance
40,"The never march
",Editorial,,https://www.dawn.com/news/1721967/the-never-march
